code;libelle;code_fnere
8040;ACTIVITÉS DE FORMATION PERMANENTE ET AUTRES;8540
8511;ACTIVITÉS HOSPITALIÈRES;8610
8512;PRATIQUE MÉDICALE ET/OU DENTAIRE;8620
8513;ACTIVITÉS DES TRADIPRATICIENS;8631
8514;ACTIVITÉS POUR LA SANTÉ HUMAINE N.C.A;8632
8520;ACTIVITÉS VÉTÉRINAIRES;7500
8530;ACTION SOCIALE;8800
9000;ASSAINISSEMENT, VOIRIE ET GESTION DES DÉCHETS;3700
9110;ACTIVITÉS DES ORGANISATIONS ÉCONOMIQUES;9410
9120;ACTIVITÉS DES SYNDICATS DE TRAVAILLEURS;9420
9131;ACTIVITÉS DES ORGANISATIONS RELIGIEUSES;9431
9132;ACTIVITÉS DES ORGANISATIONS POLITIQUES;9432
9133;ACTIVITÉS D'AUTRES ORGANISATIONS ASSOCIATIVES N.C.A;9433
9211;ACTIVITÉS CINÉMATOGRAPHIQES ET VIDÉO;5910
9212;ACTIVITÉS DE RADIO ET DE TÉLÉVISION;5920
9213;AUTRES ACTIVITÉS DE SPECTACLE;8202
9220;ACTIVITÉS D'AGENCES DE PRESSE;6302
9230;ACTIVITÉS DES MÉDIATHÈQUES, MUSÉES ET RÉSERVES;9100
9241;ACTIVITÉS DE JEUX DE HASARD ET D'ARGENT;9200
9242;ACTIVITÉS SPORTIVES OU RÉCRÉATIVES N.C.A;9300
9301;LAVAGE ET NETTOYAGE DE TEXTILES;9601
9302;COIFFURE ET SOINS DE BEAUTÉ;9602
9303;SERVICES FUNÉRAIRES;9603
9304;AUTRES ACTIVITÉS DE SERVICES PERSONNELS;9604
9500;ACTIVITÉS DES MÉNAGES EN TANT QU'EMPLOYEURS DE PERSONNEL DOMESTIQUE;9700
9900;ACTIVITÉS DES ORGANISATIONS EXTRATERRITORIALES;9900
A0101;Cultures de céréales;0111
A010101;Cultures de céréales;0111
A010102;Culture de tubercules et de légumes à cosse secs;0112
A010103;Culture d'autres fruits;0136
A010104;Culture de légumes;0121
A010201;Culture du cacao;0131
A010202;Culture du café;0132
A010203;Autres cultures n.c.a.;0116
A010204;Culture du coton;0114
A010205;Culture de la banane;0134
A010206;Autres cultures n.c.a.;0116
A010207;Autres cultures n.c.a.;0116
A010208;Culture de plantes oléagineuses;0113
A010209;"Reproduction des plantes (pépinières); horticulture";0122
A010210;Autres cultures n.c.a.;0116
A0103;Culture et élevage associés;0150
A010301;Élevage d'animaux n.c.a.;0148
A010302;Chasse et activités annexes;0170
A010401;Activités de soutien à la culture et à l'élevage;0160
A010402;Activités de soutien à la culture et à l'élevage;0160
A010403;Chasse et activités annexes;0170
A020101;Sylviculture;0211
A020102;Exploitation forestière;0212
A020103;Production de charbon de bois;0213
A020200;Cueillette;0220
A020300;Activités forestières de soutien;0230
A030101;Pêche industrielle;0302
A030102;Pêche artisanale;0301
A030201;Pisciculture, aquaculture;0303
A030202;Pisciculture, aquaculture;0303
B0500;Cokéfaction;1920
B050000;Extraction de charbon et de lignite;0500
B060001;Extraction de pétrole brut;0601
B060002;Extraction de gaz naturel;0602
B070100;Extraction de minerais de fer;0710
B070201;Extraction de minerais de métaux précieux;0722
B070202;Extraction d'autres minerais métalliques n.c.a.;0726
B080100;Extraction de pierres, de sables et d'argiles;0810
B080201;Extraction de phosphates et sels de potassium, naturels;0821
B080202;Extractions de minéraux pour l'industrie chimique;0822
B080203;Extraction ou production de sel et de natron;0823
B080204;Extraction de diamants et d'autres pierres précieuses;0824
B080205;Autres extractions;0825
B090100;Autres extractions;0825
B090200;Activités de soutien aux industries extractives;0900
C1001;Abattage, transformation et conservation des viandes;1010
C100101;Abattage, transformation et conservation des viandes;1010
C100102;Abattage, transformation et conservation des viandes;1010
C100201;Congélation de poissons, crustacés et mollusques;1021
C100202;Séchage, salage ou fumage du poisson;1022
C100203;Autres transformations et conservations des poissons, crustacés et mollusques;1023
C100300;Transformation et conservation des fruits et légumes;1030
C100400;Fabrication de corps gras d'origine animale et végétale;1040
C100501;Travail des grains;1061
C100502;Fabrication de produits amylacés;1062
C1006;Transformation et conservation des fruits et légumes;1030
C100601;Fabrication de pain et de pâtisseries fraîches;1071
C100602;Biscuiterie et pâtisserie de conservation;1072
C100603;Fabrication de pâtes alimentaires, de couscous et de produits farineux similaires;1073
C100701;"Chocolaterie ; confiserie";1092
C100702;Transformation du café, du thé;1093
C100801;Fabrication de produits laitiers et de glaces;1050
C100802;"Chocolaterie ; confiserie";1092
C100803;Transformation du café, du thé;1093
C100804;Fabrication de condiments et assaisonnements;1094
C100805;Fabrication d'aliments pour animaux;1080
C100806;Fabrication de denrées diverses n.c.a;1095
C110101;Fabrication de boissons alcoolisées;1101
C110102;Fabrication de boissons alcoolisées;1101
C110200;Production d'eaux de table et de boissons non alcoolisées;1102
C120000;Fabrication de produits à base de tabac;1200
C130101;Filature, tissage et ennoblissement textile;1310
C130102;Filature, tissage et ennoblissement textile;1310
C130103;Filature, tissage et ennoblissement textile;1310
C1302;Fabrication d'étoffes à mailles et d'articles textiles non vestimentaires n.c.a;1322
C130201;Fabrication de tapis et carpettes;1321
C130202;Fabrication d'étoffes à mailles et d'articles textiles non vestimentaires n.c.a;1322
C140100;Fabrication d'articles d'habillement;1400
C140200;Fabrication d'articles d'habillement;1400
C150101;Apprêt, tannage des cuirs et fourrures;1511
C150102;Fabrication d'articles de voyage, de maroquinerie, de sellerie et de bourrellerie;1512
C150200;Fabrication de chaussures;1520
C160100;Sciage et rabotage du bois;1610
C1602;Fabrication d'ouvrages en bois, de menuiseries et de charpente ou d'emballages;1622
C160201;Fabrication de feuilles de placage, de contreplaqués et de panneaux;1621
C160202;Fabrication d'ouvrages en bois, de menuiseries et de charpente ou d'emballages;1622
C160203;Fabrication d'articles divers en bois, liège, vannerie ou sparterie;1623
C1700;Fabrication de pâte à papier, de papier et de carton;1701
C170001;Fabrication de pâte à papier, de papier et de carton;1701
C170002;Fabrication de carton ondulé et d'emballages en papier ou en carton;1702
C170003;Fabrication d'articles en papier ou en carton;1703
C180100;Imprimerie et activités connexes;1810
C180200;Reproduction d'enregistrements;1820
C190100;Raffinage pétrolier;1910
C190200;Cokéfaction;1920
C2001;Industrie pharmaceutique;2101
C200101;Fabrication de produits azotés et d'engrais;2011
C200102;Fabrication d'autres produits chimiques de base;2012
C200201;Fabrication de savons, détergents et produits d'entretien;2021
C200202;Fabrication de parfums et de produits de toilette;2022
C200203;Fabrication de produits agrochimiques;2023
C200204;Fabrication de peintures et vernis, adjuvants et encres d'imprimerie;2024
C200205;Fabrication de fibres artificielles ou synthétiques;2025
C200206;Fabrication d'autres produits chimiques;2026
C210001;Industrie pharmaceutique;2101
C210002;Fabrication de médicaments traditionnels;2102
C2201;Fabrication d'autres ouvrages en caoutchouc;2212
C220101;Fabrication et rechapage de pneumatiques;2211
C220102;Fabrication d'autres ouvrages en caoutchouc;2212
C220200;Travail du plastique;2220
C2301;Fabrication de verre et d'articles en verre;2310
C230100;Fabrication de verre et d'articles en verre;2310
C230201;Fabrication de carreaux en céramique;2321
C230202;Fabrication de tuiles et briques;2322
C230203;Fabrication d'autres produits céramiques;2323
C230301;Fabrication de ciment, chaux et plâtre;2331
C230302;"Fabrication de matériaux et d'ouvrages en ciment, en béton ou en plâtre ; travail de la pierre";2332
C230303;Fabrication de produits minéraux non métalliques n.c.a.;2333
C2401;Sidérurgie et première transformation de l'acier;2410
C240100;Sidérurgie et première transformation de l'acier;2410
C240200;Métallurgie et première transformation des métaux non ferreux;2420
C240300;Fonderie;2430
C250100;Fabrication de structures métalliques, citernes et ouvrages chaudronnés;2510
C250200;Fabrication d'autres ouvrages en métaux;2520
C2601;Fabrication de composants, cartes électroniques et supports magnétiques;2611
C260101;Fabrication de composants, cartes électroniques et supports magnétiques;2611
C260102;Fabrication d'ordinateurs et d'équipements périphériques;2612
C260201;Fabrication d'équipements de communication;2621
C260202;Fabrication de produits électroniques grand public;2622
C260300;Fabrication d'équipements d'imagerie médicale, de précision, d'optique et d'horlogerie;2630
C270100;Fabrication de machines et matériels électrotechniques;2710
C270200;Fabrication d'appareils domestiques;2720
